id,item
2,Fresh Tomato Basil Soup 
3,Vegetable Hot & Sour Soup 
4,Manchow Vegetable Soup 
5,Vegetable Clear Soup 
6,Sweet Corn Vegetable Soup 
7,Cream of Mushroom 
8,Veg. Lemon Coriander Soup 
9,"Gazpacho Soup (Tomato, Cucumber, Bread) "
10,Chilled Pineapple Coconut Soup
11,Hot & Sour Chicken 
12,Manchow Chicken 
13,Clear Chicken 
14,Sweet Corn Chicken
15,Murg Yakni Shorba (Kashmiri) 
16,Roasted / Fry Papad 
17,Masala Papad (Roasted / Fry) 
18,French Fries 
19,Tawa Hara Bharra Kebab 
20,Vegetable Pakora 
21,Paneer Pakora 
22,Dahi Kebab 
23,Plain Cucumber Sandwich 
24,Veg. Cheese Grilled Sandwich 
25,Chana Chaat Masala 
26,Bhindi Kurkuri
27,Egg Pakoras 
28,Fish Amritsari
29,Paneer Tikka 
30,Bhunna Pyaaj Ka Paneer Tikka 
31,Paneer Malai Tikka 
32,Tandoori Aloo 
33,Tandoori Gobhi 
34,Veg. Seekh Kebab 
35,Tandoori Mushroom 
36,Soya Chaap 
37,Veg. Platter
38,Chicken Tikka  
39,Chicken Mint Kebab 
40,Chicken Malai Tikka 
41,Tandoori Chicken Half / Full 
42,Chicken Pahadi Kebab 
43,Chicken Kastoori Kebab 
44,Chicken Seekh Kebab 
45,Chicken Hazari Tikka 
46,Chicken Banjara Kebab 
47,Chicken Kesari Tangdi Kebab 
48,Fish Tikka 
49,Mutton Boti 
50,Non Veg Platter 
51,Tandoori Prawns 
52,Garden Fresh Green Salad 
53,Fruit Salad 
54,Plain Curd 
55,Vegetable/Boondi/Aloo/Pudina 
56,Burani Raita 
57,Dal Bati Churma  
58,Gatta Curry  
59,Palak Makki Ka Saag  
60,Kadi Pakora 
61,Mirchi Ka Salan 
62,Ker Sangri 
63,Laal Maas 
64,Mewari Murg Dunghaar 
65,Mewari Maans Dunghaar 
66,Traditional Chicken Curry 
67,Lahsooni Palak 
68,Hing Dhaniya Ke Aloo 
69,Aloo-Jeera/Matar/Gobhi/Simla Mirch  
70,Baingan Bharta  
71,Mix Vegetable 
72,Palak Paneer  
73,Kadai Paneer 
74,Malai Kofta  
75,Chana Masala  
76,Paneer Tikka Masala 
77,Paneer Lababdar 
78,Navratan Korma 
79,Paneer Butter Masala 
80,Mushroom Matar 
81,Khamma Special Veg.
82,Dal Fry 
83,Dal Tadka 
84,Dal Palak 
85,Dal Makhani
86,Egg Curry 
87,Chicken Lababdar  
88,Chicken Adraki  
89,Kadai Chicken  
90,Chicken Tikka Masala  
91,Chicken Saagwala 
92,Chicken Korma  
93,Chicken Mughlai  
94,Butter Chicken 
95,Fish Curry  
96,Fish Masala 
97,Mutton Rogan Josh  
98,Mutton Saagwala 
99,Mutton Mughlai 
100,Steamed Rice 
101,Jeera Rice/Veg. Pulao / Green Peas Pulao 
102,Vegetable Biryani with Raita 
103,Mewari Khichadi 
104,Vegetable Fried Rice
105,Mutton Biryani with Raita 
106,Egg Biryani with Raita 
107,Chicken Biryani with Raita 
108,Chicken Fried Rice 
109,Egg Fried Rice
110,Tandoori Roti  
111,Missi Roti  
112,Plain Naan  
113,Butter Naan/Laccha Naan 
114,Laccha Paratha  
115,Garlic Naan/Cheese Naan 
116,Stuffed Kulcha / Paratha 
117,Stuffed Keema Kulcha/Paratha 
118,Bread Basket
119,Kulhad Rabdi 
120,Churma Ladoo 
121,Gulab Jamun 
122,Gulab Jamun with Ice Cream 
123,Kesari Kheer 
124,Banana Split 
125,Ice Cream 
126,Tomato Dhaniya Shorba
127,Paya Potli Shorba
